id,first_name,last_name,birth_date,death_date,mothers_id,fathers_id,spouses_id
1,John,smith,1780-01-10,1858-04-22,,,
2,Sarah,jones,1780-02-18,1865-11-09,,,
3,William,smith,1800-03-25,1878-09-12,2,1,8
4,Emily,jones,1802-04-09,1883-06-15,2,1,7
5,James,smith,1825-05-02,1903-10-17,3,4,11
6,Olivia,jones,1828-06-21,1910-12-29,3,4,10
7,Charles,thompson,1840-07-30,1918-02-05,,4,
8,Elizabeth,harris,1838-08-14,1921-05-18,,3,
9,Robert,smith,1860-09-12,1938-01-25,8,7,12
10,Alice,miller,1863-10-25,1940-06-05,8,7,6
11,David,moore,1885-01-08,1973-04-12,5,9,
12,Mary,martin,1887-02-15,1978-09-28,5,9,
13,Michael,jones,1910-03-19,1998-07-21,11,10,
14,Lucy,brown,1913-04-27,2001-12-03,11,10,
15,John,hernandez,1936-05-10,2024-08-14,13,14,
16,Emma,lopez,1939-06-24,2027-12-27,13,14,
17,William,garcia,1962-08-18,,15,16,
18,Olivia,rodriguez,1965-09-30,,15,16,
19,James,clark,1988-11-05,,17,18,
20,Ava,miller,1991-12-18,,17,18,
21,Christopher,wilson,2014-02-12,,19,20,
22,Sophia,hall,2017-03-25,,19,20,
23,Benjamin,thomas,2040-05-01,,21,22,
24,Emily,jackson,2043-06-14,,21,22,
25,Daniel,smith,1790-04-02,1868-09-10,1,2,28
26,Olivia,granthom,1793-09-15,1870-12-29,1,2,27
27,Matthew,smith,1815-01-28,1892-05-05,25,26,
28,Sarah,white,1817-07-09,1894-10-12,25,26,
29,Alexander,johnson,1840-01-13,1918-03-20,27,28,
30,Sophia,miller,1843-06-26,1922-11-03,27,28,
31,Andrew,smith,1866-11-30,1954-08-05,29,30,
32,Isabella,smith,1869-06-12,1957-12-19,29,30,
33,Joseph,granthom,1890-09-16,1978-03-22,31,32,
34,Emily,granthom,1893-02-28,1981-08-04,31,32,
35,Joshua,smith,1915-06-02,1999-10-07,33,34,
36,Mia,smith,1918-11-15,2003-03-20,33,34,
37,William,granthom,1940-02-19,2023-05-25,35,36,
38,Olivia,granthom,1943-08-03,2026-11-09,35,36,
39,James,johnson,1965-11-08,,37,38,
40,Emma,johnson,1968-04-21,,37,38,
41,William,hernandez,1990-07-16,,39,40,
42,Olivia,hernandez,1993-12-29,,39,40,
43,James,garcia,2016-02-05,,41,42,
44,Olivia,garcia,2019-08-18,,41,42,
45,William,clark,2042-01-22,,43,44,
46,Ava,clark,2045-07-05,,43,44,
47,Christopher,wilson,2067-09-30,,45,46,
48,Sophia,wilson,2070-03-13,,45,46,
49,Benjamin,thomas,2092-06-17,,47,48,
50,Emily,thomas,2095-11-30,,47,48,
51,Daniel,jones,1815-09-02,1893-05-19,1,2,54
52,Olivia,williams,1818-04-15,1896-10-28,1,2,53
53,Matthew,jones,1840-08-28,1924-03-04,51,52,
54,Sarah,jones,1843-02-10,1926-07-18,51,52,
55,Alexander,brown,1865-06-14,1953-10-22,53,54,
56,Sophia,brown,1868-11-27,1956-04-04,53,54,
57,Andrew,jones,1891-04-02,1979-08-05,55,56,
58,Isabella,jones,1893-09-15,1981-12-19,55,56,
59,Joseph,smith,1915-12-20,2000-03-25,57,58,
60,Emily,smith,1918-06-02,2002-11-08,57,58,
61,Joshua,thompson,1940-09-07,,59,60,
62,Mia,thompson,1943-02-20,,59,60,
63,William,johnson,1965-05-25,,61,62,
64,Olivia,johnson,1968-11-07,,61
65,James,hernandez,1990-02-12,,63,64,
66,Olivia,hernandez,1993-07-25,,63,64,
67,William,garcia,2016-01-01,,65,66,
68,Ava,garcia,2019-06-14,,65,66,
69,Christopher,clark,2041-09-19,,67,68,
70,Sophia,clark,2044-03-03,,67,68,
71,Benjamin,wilson,2066-06-08,,69,70,
72,Emily,wilson,2069-11-20,,69,70,
73,Daniel,thomas,2092-02-24,,71,72,
74,Olivia,thomas,2095-08-08,,71,72,
75,James,jones,1815-06-17,1893-02-26,1,2,78
76,Olivia,williams,1818-11-30,1895-08-05,1,2,77
77,Matthew,jones,1840-04-13,1923-10-17,75,76,
78,Sarah,jones,1843-09-26,1926-03-30,75,76,
79,Alexander,brown,1865-12-30,1953-07-03,77,78,
80,Sophia,brown,1868-06-12,1956-12-16,77,78,
81,Andrew,jones,1891-10-17,1979-04-28,79,80,
82,Isabella,jones,1894-03-01,1981-10-12,79,80,
83,Joseph,smith,1916-06-06,2000-12-25,81,82,
84,Emily,smith,1918-11-19,2003-05-08,81,82,
85,Joshua,thompson,1941-02-24,,83,84,
86,Mia,thompson,1944-08-07,,83,84,
87,William,johnson,1966-11-12,,85,86,
88,Olivia,johnson,1969-04-25,,85,86,
89,James,hernandez,1991-07-30,,87,88,
90,Olivia,hernandez,1994-01-12,,87,88,
91,William,garcia,2016-04-17,,89,90,
92,Ava,garcia,2019-09-30,,89,90,
93,Christopher,clark,2042-01-04,,91,92,
94,Sophia,clark,2045-06-17,,91,92,
95,Benjamin,wilson,2067-09-22,,93,94,
96,Emily,wilson,2070-03-06,,93,94,
97,Daniel,thomas,2092-06-11,,95,96,
98,Olivia,thomas,2095-11-24,,95,96,
99,James,jones,1815-08-17,1893


