id,first_name,last_name,gender,birthdate,deathdate,mother_id,father_id,spouse_id,children_ids
1,Marcella,Macari,Female,3/7/2016,3/24/1987,1,1,1,"[{},{}]"
2,Roxine,Hubbard,Male,2/23/1936,8/14/1938,2,2,2,[{}]
3,Nial,Roscrigg,Male,11/26/1923,1/29/1921,3,3,3,"[{},{},{}]"
4,Darleen,Emmanuele,Female,4/1/1965,7/28/1922,4,4,4,[{}]
5,Katharyn,Tartt,Female,7/2/2013,11/22/1915,5,5,5,"[{},{}]"
6,Adelaide,Chataignier,Male,4/16/1906,4/20/1950,6,6,6,"[{},{},{},{}]"
7,Cal,Cusick,Male,3/30/1953,1/18/1957,7,7,7,"[{},{}]"
8,Mariana,Daglish,Female,8/17/1918,8/11/1914,8,8,8,"[{},{},{},{}]"
9,Natasha,Glasbey,Male,4/24/1979,10/16/1927,9,9,9,"[{},{},{}]"
10,Flo,Hewkin,Male,10/16/2009,11/9/1934,10,10,10,"[{},{},{},{}]"
11,Rani,Metham,Male,5/25/2004,12/25/1986,11,11,11,"[{},{}]"
12,Constantine,Broader,Female,1/25/1922,4/11/1907,12,12,12,"[{},{},{}]"
13,Antone,Ivanchov,Male,1/9/1999,8/12/1909,13,13,13,"[{},{},{},{}]"
14,Merci,Polin,Male,12/3/1985,9/14/1909,14,14,14,"[{},{},{},{},{}]"
15,Dev,Chritchlow,Female,9/4/1998,1/17/1964,15,15,15,"[{},{},{}]"
16,Gino,Beveridge,Male,12/5/1928,8/29/2015,16,16,16,[{}]
17,Pace,De Blasiis,Female,7/31/2002,3/18/1902,17,17,17,"[{},{},{},{},{}]"
18,Mort,Naisbitt,Female,10/29/1929,3/23/1984,18,18,18,[{}]
19,Bondie,Ganford,Male,12/15/1996,11/3/1943,19,19,19,[]
20,Kelley,Boddy,Male,1/31/1963,6/26/1928,20,20,20,[]
21,Emiline,Tatford,Male,8/4/2000,2/10/1904,21,21,21,"[{},{},{},{}]"
22,Estele,Wooller,Male,12/1/2014,7/20/1937,22,22,22,"[{},{},{},{}]"
23,Regen,Pagram,Female,9/7/2002,7/31/1944,23,23,23,"[{},{}]"
24,Lezley,Castagneto,Female,8/10/2017,4/16/1951,24,24,24,[{}]
25,Rosabel,Bantick,Female,11/27/1925,5/25/1920,25,25,25,"[{},{},{}]"
26,Nicki,Giacobilio,Male,6/27/1972,1/12/1990,26,26,26,[{}]
27,Rollie,De Paepe,Male,8/29/1983,12/20/1904,27,27,27,[]
28,Paula,Girardin,Male,5/15/2000,9/4/1950,28,28,28,"[{},{}]"
29,Diana,Witts,Male,3/14/1963,5/22/1924,29,29,29,"[{},{},{},{},{}]"
30,Janessa,Igounet,Male,10/9/1939,11/28/1913,30,30,30,"[{},{},{},{},{}]"
31,Ursala,McCambridge,Female,9/5/1937,7/22/2021,31,31,31,"[{},{},{},{},{}]"
32,Lynnett,Coultish,Female,8/7/1916,11/7/1955,32,32,32,"[{},{},{},{},{}]"
33,Agosto,Oatley,Male,6/9/1970,9/11/1900,33,33,33,"[{},{},{},{},{}]"
34,Arabela,Cranefield,Female,4/26/1917,9/30/2010,34,34,34,"[{},{},{},{}]"
35,Merci,Alejandri,Female,4/9/1909,3/27/1983,35,35,35,[{}]
36,Dorelle,Strowger,Male,2/22/1936,3/1/1938,36,36,36,"[{},{},{}]"
37,Ellis,Calow,Female,10/20/1985,7/8/1971,37,37,37,"[{},{},{},{},{}]"
38,Sibbie,Udale,Male,10/22/1925,11/19/1982,38,38,38,"[{},{},{}]"
39,Stuart,Dudenie,Female,3/7/1958,7/1/1947,39,39,39,[{}]
